time,tweet
2019-11-06 05:18:49,"RT @GOPChairwoman: No one energizes our base like @realDonaldTrump.

In Kentucky, the governor was down 17 points. 

President Trump helped…"
2019-11-06 05:18:27,Great going Tate! https://t.co/ghtl3Zmj1z
2019-11-06 05:15:06,Our big Kentucky Rally on Monday night had a massive impact on all of the races. The increase in Governors race was… https://t.co/PpjQ0BsGch
2019-11-06 04:56:14,A lot of winning in Kentucky. Check out the numbers. https://t.co/xcXIzIwylg
2019-11-06 04:51:12,Congratulations to @tatereeves on winning Governor of the Great State of Mississippi. Our big Rally on Friday night… https://t.co/DzrHBGcFum
2019-11-06 04:37:49,"#ElectionNight  Won 5 out of 6 elections in Kentucky, including 5 great candidates that I spoke for and introduced… https://t.co/R9dRlqEqBp"
2019-11-06 02:55:52,RT @thehill: Florida county commission cites Trump in denying library New York Times subscription https://t.co/On4lqpdBy9 https://t.co/JtXo…
2019-11-06 02:55:12,"RT @TB_Times: “Why the heck would we spend money on something like that?”
https://t.co/cqixFuhHPP"
2019-11-06 02:54:52,"RT @OrlandoWeekly: Florida county denies library subscriptions to the New York Times because it's 'fake news'
https://t.co/5JEqqR1swj"
2019-11-06 02:54:28,"RT @CBSEveningNews: Officials in Citrus County, Fla., deny public library's request for digital New York Times subscription, citing Pres. T…"
2019-11-06 02:38:43,"Great going Daniel, proud of you! https://t.co/0dUY5HoATN"
2019-11-06 01:02:45,95% Approval Rating in the Republican Party. Thank you! https://t.co/Z0VHUlAwMD
2019-11-05 20:42:10,"KENTUCKY! #KYGov 
 
Get out today and VOTE for @MattBevin and the entire Republican ticket! 
 
MISSISSIPPI! #MSGov… https://t.co/2OAeO8zqRR"
2019-11-05 18:58:07,Thank you so much CLUB 45. You are truly Great Americans. See you in Florida! https://t.co/0NuayEXEPn
2019-11-05 18:56:03,RT @Club45USA: Club 45 on NBC Today Show. Showing our strong support for the President! @DanScavino https://t.co/rSVQDeAhNX
2019-11-05 17:19:46,"KENTUCKY! 
 
Get out today and VOTE for @MattBevin and the entire Republican ticket! 
 
MISSISSIPPI! 
 
Get out tod… https://t.co/xtpkfJ9d6a"
2019-11-05 17:15:42,"RT @GOPChairwoman: If you want to defeat the radical left and #KeepAmericaGreat, then GET OUT AND VOTE today!
 
So many strong conservative…"
2019-11-05 17:00:14,A very good start! Please all work hard to get a final deal. https://t.co/IYGeBqQIQ9
2019-11-05 14:05:24,"So sad to see what is happening in New York where Governor Cuomo &amp;  Mayor DeBlasio are letting out 900 Criminals, s… https://t.co/eHHiSuQoJy"
2019-11-05 13:59:03,FIND YOUR POLLING LOCATION HERE! https://t.co/0rnhb4z3HU
2019-11-05 13:28:37,"This is the time for Mexico, with the help of the United States, to wage WAR on the drug cartels and wipe them off… https://t.co/IqrxLW6xnQ"
2019-11-05 13:25:23,"....monsters, the United States stands ready, willing &amp; able to get involved and do the job quickly and effectively… https://t.co/rWFZvQPbUW"
2019-11-05 13:25:13,"A wonderful family and friends from Utah got caught between two vicious drug cartels, who were shooting at each oth… https://t.co/R34sb8ly0p"
2019-11-05 12:58:24,"“The Impeachment Hoax has fired up voters in Kentucky, Mississippi and Louisiana.” @foxandfriends"
2019-11-05 12:47:14,Fantastic being in the Great State of Kentucky last night. Vote for Matt Bevin NOW! @MattBevin  One of Best Governo… https://t.co/GxNvj7iKsk
2019-11-05 12:31:53,RT @realDonaldTrump: I hope everyone in the Great State of Virginia will get out and VOTE on Tuesday in all of the local and state election…
2019-11-05 12:31:46,"RT @realDonaldTrump: Virginia has the best Unemployment and Economic numbers in the history of the State. If the Democrats get in, those nu…"
2019-11-05 12:30:22,"RT @realDonaldTrump: Great Republican Geary Higgins has my complete and total Endorsement for Virginia Senate, 13th District. He is strong…"
2019-11-05 12:30:12,"RT @realDonaldTrump: Louisiana, get out and Vote Early for @EddieRispone as your next Governor. Lower Taxes and car insurance. Will protect…"
2019-11-05 12:30:00,RT @realDonaldTrump: The Whistleblower gave false information &amp; dealt with corrupt politician Schiff. He must be brought forward to testify…
2019-11-05 12:29:41,RT @realDonaldTrump: 95% Approval Rating in the Republican Party. Thank you!
2019-11-05 12:29:20,RT @realDonaldTrump: All-Time High for Stock Market and all the Fake News wants to talk about is the Impeachment Hoax!
2019-11-05 12:29:08,"RT @realDonaldTrump: My son, @DonaldJTrumpJr is coming out with a new book, “Triggered: How the Left Thrives on Hate and Wants to Silence U…"
2019-11-05 12:28:32,"RT @realDonaldTrump: Virginia, with all of the massive amount of defense and other work I brought to you, and with everything planned, go o…"
2019-11-05 12:24:11,RT @atrupar: Zimmerman presents Trump with a customized Nationals jersey https://t.co/KUtPraHdVW
2019-11-05 12:23:56,"RT @ElizLanders: ""What an unbelievable honor... this is what you dream about,"" Ryan Zimmerman says at the White House, and goes on to thank…"
2019-11-05 12:23:38,RT @WhiteHouse: Ryan Zimmerman presented President @realDonaldTrump with a #45 @Nationals jersey! ⚾ https://t.co/lp5MCIv8R4
2019-11-05 12:20:19,"RT @ABC: I love you all. Thank you Mr. President,"" Washington Nationals catcher Kurt Suzuki says, putting on a “Make America Great Again” h…"
2019-11-05 12:11:14,"RT @Varneyco: STU: ""None of this will change. The #impeachment drive and the secret hearings will continue, but the contempt the elites hav…"
2019-11-05 12:09:51,The Do Nothing Dems have gone Radical Left Crazy. The can’t get anything done! https://t.co/wasvWli9jr
2019-11-05 12:07:35,"RT @Varneyco: STU: ""It's crunch time. The angry left has taken over the @TheDemocrats party, and the socialists have taken over the preside…"
2019-11-05 12:07:13,"RT @Varneyco: STU: ""Impeachment is all viscous politics. It will fail, and voters won't forget."" #ImpeachmentHearings #Politics #Markets #M…"
2019-11-05 12:06:36,"RT @Varneyco: STU: ""Throw in strong #profits, #tradedeals, and more #economicgrowth still to come, and you can see why we have record highs…"
2019-11-05 12:05:22,"Virginia, with all of the massive amount of defense and other work I brought to you, and with everything planned, g… https://t.co/Lrj840XKln"
2019-11-05 04:57:55,"RT @TrumpWarRoom: ""We support, protect, and defend the Constitution""

""We stand with the incredible heroes and warriors of law enforcement.…"
2019-11-05 04:57:11,"RT @TrumpWarRoom: ""So today, we just hit the highest number in the history of the stock market. ... That's for everybody. Your 401(k)'s, ho…"
2019-11-05 04:56:28,"RT @TrumpWarRoom: ""American special forces gave the world's number one terrorist a one-way ticket to hell."" 

- President Trump speaks in L…"
2019-11-05 04:55:55,"RT @TrumpWarRoom: ""The American people are fed up with Democrat lies, hoaxes, slander. The Democrats' outrageous conduct has created an ang…"
2019-11-05 02:08:09,Vote for Sean Spicer on Dancing with the Stars. He is a great and very loyal guy who is working very hard! #MAGA https://t.co/JGvKANCRqZ
2019-11-04 17:39:36,"My son, @DonaldJTrumpJr is coming out with a new book, “Triggered: How the Left Thrives on Hate and Wants to Silenc… https://t.co/02oUqjQsXN"
2019-11-04 15:09:53,All-Time High for Stock Market and all the Fake News wants to talk about is the Impeachment Hoax!
2019-11-04 14:51:29,Read the Transcript!
2019-11-04 14:51:26,"Big Rally in Kentucky TONIGHT for a man who has worked really hard &amp; done a GREAT job, Gov @MattBevin. Kentucky is… https://t.co/uhhGSnPle3"
2019-11-04 14:22:13,"....I don’t like him using my name to build his consulting company, or whatever. Please advise his clients and Admi… https://t.co/jh2dCZUYVa"
2019-11-04 14:22:09,"Many people say they know me, claiming to be “best friends” and really close etc., when I don’t know these people a… https://t.co/2dxNsKsV1v"
2019-11-04 13:45:24,Stock Market hits RECORD HIGH. Spend your money well!
2019-11-04 13:14:30,“There is no Whistleblower. There is someone with an agenda against Donald Trump. What he was blowing the whistle o… https://t.co/xzLXn6gK3i
2019-11-04 12:58:31,95% Approval Rating in the Republican Party. Thank you!
2019-11-04 12:50:51,The Whistleblower gave false information &amp; dealt with corrupt politician Schiff. He must be brought forward to test… https://t.co/UiSNcBYq39
2019-11-04 12:06:39,What I said on the phone call with the Ukrainian President is “perfectly” stated. There is no reason to call witnes… https://t.co/2bPuggcrua
2019-11-04 11:53:00,"Mark Levin, a great lawyer and scholar, said last night on his @marklevinshow, that all you have to do is read the… https://t.co/HXjDwkEoNI"
2019-11-04 11:38:43,Great! But how do you know it was a “mistweet?” May be something with deep meaning! https://t.co/00EXMCgQLp
2019-11-04 05:19:41,RT @IranIntl_Ar: #العراق: حرق جدار القنصلية الإيرانية في #كربلاء https://t.co/C4jZyZkDeC
2019-11-04 05:18:13,"RT @arabnews: #BREAKING: Dozens of Iraqi demonstrators have stormed the Iranian consulate in #Karbala, lowering the flag and burning part o…"
2019-11-04 05:15:54,"Louisiana, get out and Vote Early for @EddieRispone as your next Governor. Lower Taxes and car insurance. Will prot… https://t.co/h7ckQazwxB"
2019-11-04 05:06:29,"RT @JudgeJeanine: The democrats are tearing this country apart. They are wusses, wimps and weasels. They don’t have the chutzpah to face Do…"
2019-11-04 05:06:21,"RT @JudgeJeanine: Check out my interview with @SteveScalise on the Democrats' impeachment witch-hunt and their ""soviet-style"" process to th…"
2019-11-04 05:01:09,"Great Republican Geary Higgins has my complete and total Endorsement for Virginia Senate, 13th District. He is stro… https://t.co/DH0QugQd0a"
2019-11-04 04:18:48,"@marklevinshow Mark Levin: “We ought to talk about the substance of this phone call. We have the call, I don’t know… https://t.co/prPZPKcVHt"
2019-11-04 04:00:44,RT @marklevinshow: Morrison testimony backfires on Schiff and the radical Democrats https://t.co/I1EaUfTKSf
